Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
5001,Swetashi Aiyyar,68,27,83,64,90,74,76,72,46,76,63
5002,Mira Rajput,54,42,90,86,81,43,36,38,68,62,45
5003,Deepali Sanyal,45,50,70,68,46,67,29,73,61,97,40
5004,Ayansh Mukherjee,55,33,70,59,71,91,66,63,48,80,40
5005,Mihika Kalra,25,31,79,92,50,48,34,38,63,96,25
5006,James Fernandes,76,52,68,50,76,66,73,54,49,97,42
5007,Andrew Peter,75,78,43,77,58,62,53,49,44,45,27
5008,Atin Choudhari,78,34,73,54,78,73,25,30,45,85,72
5009,Kalyan Krupanidhi,48,50,65,46,63,56,54,45,41,57,67
5010,Raga Lalitha,48,37,65,64,87,64,79,41,69,59,68
5011,Somesh Jha,56,64,53,64,63,43,37,50,39,59,28
5012,Jashwant Bhide,31,41,88,92,52,78,63,33,32,94,56
5013,Suyash Chaturvedi,63,58,61,67,51,46,46,63,34,47,68
5014,Nirmala,69,68,60,53,73,88,36,80,67,57,49
5015,Yatindra Sharma,53,38,52,79,52,83,37,67,72,86,76
5016,Shivalik Gonda,63,41,91,89,51,69,80,54,53,71,32
5017,Mitushi Ghosh,74,47,58,96,66,55,70,68,66,61,39
5018,Nayan Mahadevan,74,49,65,90,59,85,49,67,31,63,37
5019,Rishi Damul,79,47,67,62,47,55,72,25,40,48,45
5020,Kumar Amar,29,80,58,64,56,75,77,56,59,50,41
