Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
1001,Akash Ahuja,30,95,78,92,84,36,47,82,44,14,74
1002,Mohit Srivatsav,32,46,65,53,28,77,36,76,74,77,27
1003,Anshika Mehra,87,91,74,81,88,100,45,37,10,44,11
1004,Visakha Tamboli,65,83,83,78,45,61,16,89,52,23,50
1005,Raju Deshmukh,84,66,98,62,68,99,70,61,65,75,87
1006,Aruna Iyer,90,50,56,78,33,100,74,17,72,74,34
1007,Ramesh Gowda,75,23,70,36,67,60,48,51,42,89,29
1008,Anamika Kumari,66,20,91,82,92,96,95,27,38,83,41
1009,Piyush Pande,50,95,85,15,53,45,73,88,41,24,17
1010,Subhajeet Dutta,23,46,65,13,23,81,44,17,62,84,66
1011,Sonal Tripathi,20,83,93,51,82,24,83,22,31,11,42
1012,Ganesh Sekhar,95,80,76,91,52,62,94,34,26,83,87
1013,Praddep Meena,46,92,84,21,100,56,76,81,31,22,62
1014,Albert Pinto,91,37,58,22,31,72,23,52,20,23,90
1015,Raheem Khan,83,87,90,84,82,42,15,76,92,78,78
1016,Md. Yusuf,80,65,59,73,49,47,26,94,77,56,44
1017,Rashmi Desai,92,84,95,83,72,90,78,39,26,12,66
1018,Sanjana Venkatramana,37,90,82,91,84,76,48,33,19,56,95
1019,Gurpreet Singh,25,75,77,16,39,88,82,100,76,24,16
1020,Nisha Saxena,87,66,96,62,97,52,82,73,83,11,84
