Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
3001,Anshu Pathak,45,24,47,56,48,58,54,45,57,47,32
3002,Kishor Biyani,43,71,29,59,31,29,49,29,62,82,65
3003,Munjal Shah,35,44,39,31,76,73,88,45,25,25,57
3004,Anil Bhanupriya,57,60,71,64,46,49,51,81,62,27,57
3005,Besent Kumar,32,80,45,73,71,61,65,28,78,52,55
3006,Diana,77,72,82,31,64,25,41,30,55,61,29
3007,Raghu Govind,36,54,73,81,40,31,78,31,57,57,28
3008,Manyathi Shetty,53,31,87,73,82,52,71,42,72,55,43
3009,Suman Bhattacharya,87,77,65,31,26,68,83,67,27,81,76
3010,Devanshu Mishra,87,84,84,83,33,85,82,69,69,64,40
3011,Karan Thapa,27,36,65,24,88,28,57,28,61,28,25
3012,Farhan Ali,28,58,52,24,47,64,63,25,61,35,57
3013,Ashwini Pushpa,25,72,53,56,41,47,47,88,88,79,67
3014,Michel Dsuza,76,54,42,59,44,65,51,73,30,51,58
3015,Nagashruthi,29,47,35,33,66,42,29,53,77,50,37
3016,Chandrsekhar Kudwa,75,44,70,25,52,48,69,61,31,70,45
3017,Niharika Popat,52,74,63,80,46,56,45,43,68,60,73
3018,Jivan Rao,48,38,59,82,62,43,73,69,88,81,87
3019,Muhul Ghade,61,42,58,67,57,51,39,45,42,29,60
3020,Manshukh Bhayani,54,81,85,77,86,35,76,83,61,37,81
