Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
1001,Akash Ahuja,39,74,87,92,84,36,47,82,44,81,78
1002,Mohit Srivatsav,72,38,97,53,28,77,36,76,74,68,81
1003,Anshika Mehra,82,52,94,81,88,100,45,37,10,36,69
1004,Visakha Tamboli,44,68,62,78,45,61,16,89,52,37,45
1005,Raju Deshmukh,83,49,44,62,68,99,70,61,65,82,39
1006,Aruna Iyer,76,36,95,78,33,100,74,17,72,90,45
1007,Ramesh Gowda,74,41,66,36,67,60,48,51,42,75,61
1008,Anamika Kumari,41,86,43,82,92,96,95,27,38,73,45
1009,Piyush Pande,89,51,71,15,53,45,73,88,41,36,82
1010,Subhajeet Dutta,42,80,74,13,23,81,44,17,62,65,84
1011,Sonal Tripathi,41,74,79,51,82,24,83,22,31,71,65
1012,Ganesh Sekhar,57,58,59,91,52,62,94,34,26,82,90
1013,Praddep Meena,87,82,86,21,100,56,76,81,31,44,56
1014,Albert Pinto,61,61,75,22,31,72,23,52,20,53,78
1015,Raheem Khan,88,63,50,84,82,42,15,76,92,81,86
1016,Md. Yusuf,39,60,67,73,49,47,26,94,77,67,45
1017,Rashmi Desai,80,61,97,83,72,90,78,39,26,49,51
1018,Sanjana Venkatramana,72,78,91,91,84,76,48,33,19,79,40
1019,Gurpreet Singh,57,49,62,16,39,88,82,100,76,52,41
1020,Nisha Saxena,50,58,72,62,97,52,82,73,83,78,45
