Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
4001,Md. Irfan,50,88,40,43,78,85,74,94,53,24,63
4002,Swati Shankar,42,45,33,69,86,82,46,82,86,24,63
4003,Mashuk Khan,76,75,64,33,63,82,70,84,65,63,87
4004,Jaspreet Kaur,59,41,51,48,39,27,80,81,77,50,93
4005,Ismail Ahmed,50,65,51,37,38,82,58,75,63,83,76
4006,Atanu Sanyal,50,75,60,58,38,29,61,57,76,55,41
4007,Monica Bharti,76,97,35,29,79,59,74,87,86,27,64
4008,Bipul Bindal,95,53,60,89,86,57,86,65,48,51,83
4009,Chanchal Panidhar,49,57,38,52,89,56,51,55,72,89,71
4010,Hashmukh Patel,74,54,74,90,93,72,59,50,79,70,74
4011,Ridhima Shetty,72,41,70,90,28,94,58,40,87,32,98
4012,Anukul Seth,89,49,55,58,94,43,55,43,55,64,87
4013,Jyoti Sridharan,78,72,22,43,64,25,55,61,94,81,66
4014,Afsana Anjum,93,63,46,55,92,22,57,76,97,37,90
4015,Sunaina Prabhu,71,42,50,93,75,41,69,56,72,84,49
4016,Jemeira Sami,97,72,81,38,28,75,64,40,45,46,47
4017,Derek Pinto,84,68,37,30,79,88,73,92,67,58,73
4018,Sameera Gowda,46,61,75,73,75,76,70,91,82,48,74
4019,Nitin Deewan,53,43,65,36,56,20,46,98,66,25,50
4020,Sayantan Ghosh,79,91,69,34,57,46,81,72,65,68,54
