Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
2001,Ashok Chauhan,39,71,42,70,65,30,42,33,70,66,22
2002,Bibhor Gupta,59,29,44,81,57,86,22,89,85,74,69
2003,Akshay Agarwal,30,69,50,50,50,38,53,22,22,45,57
2004,Rahul Bansal,73,41,88,89,56,30,90,57,39,26,84
2005,Kriti Singh,52,25,56,77,30,90,48,65,28,35,56
2006,Reshma Sultana,49,72,75,60,86,45,62,51,45,49,90
2007,Agriya Marandi,83,75,41,85,68,81,23,85,51,57,74
2008,Emanuel Joseph,38,74,26,69,71,37,84,63,55,74,64
2009,Rituraj Khanna,59,53,85,87,31,66,65,68,20,25,67
2010,Sofiya Ahmed,34,20,49,70,78,26,87,47,31,66,54
2011,James Gabriel,56,48,22,28,70,46,87,40,70,23,74
2012,Ekta Banerjee,55,87,84,64,61,51,33,69,35,89,86
2013,Richa Gopanayak,71,34,29,60,52,25,39,89,87,40,26
2014,Sukriti Verma,39,55,82,45,23,57,76,28,74,63,81
2015,Pranav Verma,76,47,29,49,50,61,27,73,67,88,88
2016,Arjun Godbole,29,85,23,44,65,53,35,42,32,72,24
2017,Himanshu Joshi,47,68,55,44,75,59,69,74,48,78,42
2018,Simi Bhansali,88,41,65,68,52,87,67,69,69,74,69
2019,Krishna Priya,28,89,85,29,61,67,36,48,27,43,76
2020,Deep Dasgupta,72,84,79,48,56,56,37,59,34,37,87
