Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
2001,Ashok Chauhan,67,33,47,96,80,86,89,33,55,42,58
2002,Bibhor Gupta,82,43,27,98,33,64,53,27,65,26,62
2003,Akshay Agarwal,71,52,92,86,43,64,33,35,41,31,48
2004,Rahul Bansal,71,58,35,54,97,38,37,46,36,42,98
2005,Kriti Singh,40,55,40,35,60,28,61,78,31,85,72
2006,Reshma Sultana,33,94,50,30,79,60,49,91,35,33,49
2007,Agriya Marandi,69,48,92,55,57,63,81,52,52,54,88
2008,Emanuel Joseph,46,46,25,39,39,54,51,30,75,68,80
2009,Rituraj Khanna,83,59,43,88,52,60,66,27,43,94,27
2010,Sofiya Ahmed,85,76,72,85,59,92,84,73,39,41,45
2011,James Gabriel,50,48,62,69,80,67,92,95,52,91,62
2012,Ekta Banerjee,30,90,45,52,87,41,43,86,33,44,62
2013,Richa Gopanayak,29,38,34,92,93,95,95,27,81,38,69
2014,Sukriti Verma,35,76,39,29,54,70,69,88,59,76,97
2015,Pranav Verma,91,50,92,31,79,52,59,43,74,78,79
2016,Arjun Godbole,87,53,33,74,60,50,56,51,59,66,68
2017,Himanshu Joshi,34,35,70,94,88,65,86,56,27,92,96
2018,Simi Bhansali,29,52,53,26,82,60,88,56,44,87,79
2019,Krishna Priya,98,56,54,82,66,58,63,51,52,61,56
2020,Deep Dasgupta,52,30,58,66,47,73,49,43,96,55,85
