Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
5001,Swetashi Aiyyar,86,64,77,69,70,64,20,59,73,53,64
5002,Mira Rajput,21,33,69,88,92,76,33,56,42,97,52
5003,Deepali Sanyal,67,61,50,59,92,76,78,89,23,70,23
5004,Ayansh Mukherjee,85,21,86,47,66,75,61,45,37,75,76
5005,Mihika Kalra,68,59,47,60,66,86,35,84,31,69,38
5006,James Fernandes,69,64,85,51,86,88,74,22,56,79,58
5007,Andrew Peter,55,72,76,68,65,96,58,52,46,64,86
5008,Atin Choudhari,81,76,68,47,48,75,29,61,83,53,51
5009,Kalyan Krupanidhi,74,48,71,82,62,95,58,75,32,79,76
5010,Raga Lalitha,73,31,64,71,41,85,32,63,34,61,59
5011,Somesh Jha,51,76,67,58,51,91,32,71,79,70,61
5012,Jashwant Bhide,40,78,62,97,86,93,72,32,26,60,84
5013,Suyash Chaturvedi,37,27,79,87,78,51,26,47,20,74,85
5014,Nirmala,68,89,74,68,99,68,37,64,45,80,24
5015,Yatindra Sharma,37,48,75,58,70,88,47,58,21,46,89
5016,Shivalik Gonda,84,90,90,96,67,93,22,56,46,56,46
5017,Mitushi Ghosh,50,77,41,73,40,67,59,40,29,98,42
5018,Nayan Mahadevan,78,81,83,86,43,71,59,76,44,88,32
5019,Rishi Damul,71,63,72,87,49,80,70,28,81,99,39
5020,Kumar Amar,61,68,99,80,74,59,36,71,24,85,85
