Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
4001,Md. Irfan,71,52,50,75,39,62,55,73,78,32,83
4002,Swati Shankar,75,39,47,84,47,33,42,75,70,66,34
4003,Mashuk Khan,49,87,43,79,69,38,88,82,92,69,78
4004,Jaspreet Kaur,48,87,77,21,30,59,91,80,48,42,83
4005,Ismail Ahmed,78,68,80,66,23,53,63,43,57,83,42
4006,Atanu Sanyal,61,46,75,41,56,71,71,55,57,70,66
4007,Monica Bharti,63,89,57,65,41,23,89,93,86,80,25
4008,Bipul Bindal,36,75,20,73,32,42,56,55,83,56,45
4009,Chanchal Panidhar,84,61,73,46,71,49,89,72,88,67,21
4010,Hashmukh Patel,82,60,79,80,80,36,78,57,83,40,84
4011,Ridhima Shetty,66,62,42,49,55,63,69,87,94,22,46
4012,Anukul Seth,56,66,79,84,73,54,68,82,65,74,60
4013,Jyoti Sridharan,67,89,75,28,35,57,49,64,87,68,22
4014,Afsana Anjum,90,60,35,38,65,77,86,80,87,45,59
4015,Sunaina Prabhu,86,45,29,75,60,50,60,73,74,85,45
4016,Jemeira Sami,67,37,21,81,40,70,91,94,44,31,85
4017,Derek Pinto,43,84,78,64,51,53,45,58,71,75,51
4018,Sameera Gowda,47,69,24,30,38,48,77,58,77,48,82
4019,Nitin Deewan,71,61,51,68,85,85,93,60,44,85,61
4020,Sayantan Ghosh,44,62,46,57,60,71,70,90,87,63,59
