Student Roll,Student Name,Hindi,English,Mathematics,Physics,Chemistry,Biology,History,Geography,Civics,Computer Science,Physical Education
3001,Anshu Pathak,55,64,62,29,81,49,81,87,50,48,51
3002,Kishor Biyani,80,40,52,53,55,56,77,80,81,28,51
3003,Munjal Shah,34,49,27,59,76,42,25,46,59,48,81
3004,Anil Bhanupriya,23,62,63,60,52,37,38,41,88,38,70
3005,Besent Kumar,75,86,56,23,58,48,31,65,64,58,47
3006,Diana,51,25,55,48,39,81,56,88,63,81,63
3007,Raghu Govind,64,82,32,48,39,25,50,48,25,36,59
3008,Manyathi Shetty,36,88,72,31,35,56,32,77,42,87,82
3009,Suman Bhattacharya,55,37,86,88,48,43,28,35,27,47,45
3010,Devanshu Mishra,68,39,47,87,71,38,27,41,26,71,63
3011,Karan Thapa,43,26,24,23,61,49,79,66,33,84,30
3012,Farhan Ali,47,52,75,38,33,28,46,69,55,62,25
3013,Ashwini Pushpa,72,78,72,44,84,32,77,74,37,54,25
3014,Michel Dsuza,64,73,42,71,86,72,39,58,33,39,37
3015,Nagashruthi,88,75,60,31,39,84,82,74,88,71,81
3016,Chandrsekhar Kudwa,44,75,25,25,66,69,43,38,53,79,65
3017,Niharika Popat,27,60,67,69,53,69,72,76,86,23,54
3018,Jivan Rao,37,45,31,72,70,84,34,66,49,63,70
3019,Muhul Ghade,41,59,72,83,62,23,86,61,84,24,60
3020,Manshukh Bhayani,25,30,34,35,79,35,63,82,76,54,31
